TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
MIA,MIA vs. UTA,03/13/2023,W,48,119,37,79,46.8,14,34,41.2,31,36,86.1,9,28,37,20,13,12,4,13,4
MIL,MIL @ SAC,03/13/2023,W,48,133,50,86,58.1,15,33,45.5,18,22,81.8,5,38,43,29,13,2,4,18,9
ATL,ATL vs. MIN,03/13/2023,L,48,115,44,97,45.4,4,22,18.2,23,28,82.1,18,33,51,17,16,6,4,19,-21
DEN,DEN vs. BKN,03/12/2023,L,48,120,45,90,50.0,12,31,38.7,18,24,75.0,15,34,49,27,15,4,8,19,-2
PHI,PHI vs. WAS,03/12/2023,W,48,112,41,80,51.3,11,29,37.9,19,23,82.6,9,33,42,29,9,6,10,19,19
POR,POR @ NOP,03/12/2023,L,48,110,43,88,48.9,10,33,30.3,14,20,70.0,10,36,46,26,19,10,2,21,-17
OKC,OKC @ SAS,03/12/2023,W,48,102,36,95,37.9,10,39,25.6,20,23,87.0,12,43,55,26,9,8,3,19,12
CHA,CHA vs. CLE,03/12/2023,L,48,108,41,80,51.3,10,21,47.6,16,22,72.7,7,36,43,25,19,8,5,26,-6
SAS,SAS vs. OKC,03/12/2023,L,48,90,33,88,37.5,10,36,27.8,14,19,73.7,10,40,50,24,19,3,7,18,-12
LAL,LAL vs. NYK,03/12/2023,L,48,108,43,89,48.3,12,36,33.3,10,17,58.8,10,27,37,24,11,6,2,17,-4
CLE,CLE @ CHA,03/12/2023,W,48,114,41,87,47.1,7,27,25.9,25,34,73.5,11,29,40,18,10,8,3,22,6
NOP,NOP vs. POR,03/12/2023,W,48,127,43,86,50.0,19,40,47.5,22,29,75.9,8,35,43,35,15,11,7,19,17
BKN,BKN @ DEN,03/12/2023,W,48,122,42,84,50.0,17,44,38.6,21,24,87.5,4,24,28,32,10,11,2,21,2
WAS,WAS @ PHI,03/12/2023,L,48,93,34,84,40.5,6,26,23.1,19,23,82.6,6,29,35,19,10,4,5,20,-19
NYK,NYK @ LAL,03/12/2023,W,48,112,42,88,47.7,11,37,29.7,17,21,81.0,12,34,46,18,11,8,3,18,4
LAC,LAC vs. NYK,03/11/2023,W,48,106,42,87,48.3,10,30,33.3,12,16,75.0,7,32,39,22,10,3,4,20,11
DET,DET vs. IND,03/11/2023,L,48,115,43,94,45.7,11,34,32.4,18,27,66.7,12,30,42,25,12,7,7,24,-6
OKC,OKC @ NOP,03/11/2023,W,48,110,37,80,46.3,9,28,32.1,27,32,84.4,4,34,38,17,12,11,2,17,14
MEM,MEM vs. DAL,03/11/2023,W,48,112,41,86,47.7,10,38,26.3,20,24,83.3,11,34,45,25,11,7,5,16,4
NYK,NYK @ LAC,03/11/2023,L,48,95,32,90,35.6,7,31,22.6,24,27,88.9,20,34,54,21,10,5,3,17,-11
PHX,PHX vs. SAC,03/11/2023,L,48,119,44,89,49.4,13,44,29.5,18,22,81.8,7,33,40,30,14,11,3,26,-9
HOU,HOU vs. CHI,03/11/2023,L,48,111,41,85,48.2,16,34,47.1,13,17,76.5,6,27,33,28,16,10,3,19,-8
GSW,GSW vs. MIL,03/11/2023,W,53,125,46,112,41.1,23,55,41.8,10,11,90.9,18,47,65,33,15,12,4,15,9
ORL,ORL vs. MIA,03/11/2023,W,53,126,48,99,48.5,13,37,35.1,17,20,85.0,15,39,54,34,19,10,10,20,12
DAL,DAL @ MEM,03/11/2023,L,48,108,39,85,45.9,15,43,34.9,15,23,65.2,10,33,43,25,11,4,3,17,-4
MIA,MIA @ ORL,03/11/2023,L,53,114,42,94,44.7,11,37,29.7,19,20,95.0,5,30,35,19,17,8,2,17,-12
CHI,CHI @ HOU,03/11/2023,W,48,119,44,86,51.2,15,32,46.9,16,22,72.7,13,31,44,25,14,7,9,17,8
